Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,29.139999,29.740000,29.010000,29.500000,14.760924,16486300
2021-01-05,29.459999,30.590000,28.920000,30.400000,15.211255,20245000
2021-01-06,30.500000,31.250000,30.490000,30.750000,15.386386,23213000
2021-01-07,30.920000,31.750000,30.920000,31.650000,15.836720,16348700
2021-01-08,31.879999,32.340000,31.030001,31.590000,15.806699,17349000
2021-01-11,31.120001,31.600000,30.980000,31.290001,15.656587,12810900
2021-01-12,31.680000,31.969999,31.059999,31.180000,15.601546,16516300
2021-01-13,31.170000,31.280001,29.490000,29.740000,14.881011,23270300
2021-01-14,29.770000,30.040001,29.280001,29.860001,14.941056,16531800
2021-01-15,29.480000,29.520000,28.650000,28.809999,14.415668,20426200
2021-01-18,28.889999,29.480000,28.750000,28.760000,14.390649,10070500
2021-01-19,29.180000,29.240000,28.389999,29.120001,14.570785,11002100
2021-01-20,29.350000,29.570000,28.590000,28.629999,14.325601,9105100
2021-01-21,28.530001,28.930000,28.030001,28.090000,14.055401,9540100
2021-01-22,27.490000,27.910000,27.160000,27.730000,13.875268,19675600
2021-01-26,27.850000,28.440001,27.510000,27.600000,13.810220,19726900
2021-01-27,27.299999,28.670000,27.090000,27.980000,14.000360,16528600
2021-01-28,27.840000,28.959999,27.840000,28.600000,14.310591,13571100
2021-01-29,28.230000,28.370001,27.330000,27.330000,13.675118,17428900
2021-02-01,27.809999,28.320000,27.480000,28.110001,14.065410,16133200
2021-02-02,28.889999,29.809999,28.690001,29.080000,14.550767,22197200
2021-02-03,29.350000,29.580000,29.070000,29.299999,14.660850,18113900
2021-02-04,29.280001,29.450001,28.750000,29.270000,14.645839,9732200
2021-02-05,29.309999,30.709999,29.010000,29.680000,14.850989,29591900
2021-02-08,29.170000,29.840000,28.150000,28.450001,14.235534,30213000
2021-02-09,28.379999,28.750000,27.680000,27.709999,13.865258,23255400
2021-02-10,27.980000,28.290001,27.360001,28.049999,14.035385,14690800
2021-02-11,28.299999,28.670000,28.110001,28.309999,14.165483,19893800
2021-02-12,28.309999,28.590000,27.879999,28.500000,14.260552,10835200
2021-02-17,28.530001,29.700001,28.280001,29.680000,14.850989,16008200
2021-02-18,30.500000,30.950001,29.209999,29.430000,14.725897,26443000
2021-02-19,28.250000,28.469999,26.940001,27.100000,13.560034,66820000
2021-02-22,22.500000,22.770000,21.350000,21.549999,10.782979,132375800
2021-02-23,23.000000,23.770000,22.610001,23.480000,11.748693,135100700
2021-02-24,24.040001,24.410000,23.420000,23.780001,11.898805,59529900
2021-02-25,24.500000,24.820000,22.709999,22.940001,11.478495,58890700
2021-02-26,22.870001,23.070000,21.959999,22.150000,11.083202,47419800
2021-03-01,22.660000,22.900000,21.990000,22.010000,11.013150,40852500
2021-03-02,21.900000,22.230000,20.740000,21.910000,10.963113,52848600
2021-03-03,21.700001,21.889999,20.600000,20.969999,10.492764,55664000
2021-03-04,21.120001,22.129999,20.930000,21.870001,10.943098,47489800
2021-03-05,22.150000,22.799999,21.790001,22.059999,11.038169,43166600
2021-03-08,21.700001,21.990000,20.870001,21.000000,10.507776,40592700
2021-03-09,21.139999,21.900000,20.780001,21.389999,10.702920,33864000
2021-03-10,21.690001,22.290001,21.469999,22.290001,11.153255,33131800
2021-03-11,22.500000,23.150000,22.440001,22.950001,11.483500,39160900
2021-03-12,22.809999,23.080000,22.490000,22.700001,11.358406,19890600
2021-03-15,22.740000,23.260000,22.639999,23.260000,11.638614,17028300
2021-03-16,23.139999,23.219999,22.760000,22.910000,11.463484,15310200
2021-03-17,22.879999,23.760000,22.650000,23.639999,11.828753,25962600
2021-03-18,23.400000,23.520000,22.760000,22.969999,11.493505,26139300
2021-03-19,22.980000,23.620001,22.780001,23.520000,11.768709,37789800
2021-03-22,23.230000,23.309999,22.770000,23.080000,11.548546,18776800
2021-03-23,22.809999,23.250000,22.549999,22.549999,11.283349,15989200
2021-03-24,22.770000,23.320000,22.530001,22.530001,11.273343,22253300
2021-03-25,22.379999,23.120001,21.980000,22.959999,11.488502,23611500
2021-03-26,23.200001,23.780001,22.959999,23.299999,11.658627,21935500
2021-03-29,23.090000,23.660000,23.090000,23.650000,11.833757,16628800
2021-03-30,23.360001,23.820000,23.360001,23.580000,11.798730,15046700
2021-03-31,23.590000,24.120001,23.540001,23.940001,11.978867,16817600
2021-04-01,24.129999,24.180000,23.469999,23.620001,11.818747,17294200
2021-04-05,23.799999,23.950001,23.530001,23.870001,11.943838,13356000
2021-04-06,23.900000,24.139999,23.590000,23.690001,11.853771,15745800
2021-04-07,23.590000,24.059999,23.570000,23.799999,11.908812,22334400
2021-04-08,23.770000,23.809999,23.209999,23.400000,11.708665,21325900
2021-04-09,23.139999,23.620001,23.090000,23.500000,11.758702,21537900
2021-04-12,23.600000,24.230000,23.590000,23.740000,11.878790,13987300
2021-04-13,23.750000,23.940001,23.530001,23.740000,11.878790,17292200
2021-04-14,23.860001,24.430000,23.670000,24.120001,12.068930,26209700
2021-04-15,23.510000,23.610001,22.860001,22.920000,11.858274,15755200
2021-04-16,22.809999,23.129999,22.430000,22.650000,11.718583,38648600
2021-04-19,22.650000,24.290001,22.480000,23.790001,12.308392,53749800
2021-04-20,23.809999,24.010000,23.110001,23.200001,12.003139,32032000
2021-04-22,23.510000,23.540001,23.110001,23.209999,12.008313,17247700
2021-04-23,23.360001,23.410000,23.010000,23.270000,12.039354,16676900
2021-04-26,23.350000,23.580000,23.180000,23.299999,12.054875,11732500
2021-04-27,23.350000,23.639999,22.620001,22.740000,11.765144,22021900
2021-04-28,22.959999,23.620001,22.930000,23.549999,12.184220,19082500
2021-04-29,23.690001,23.900000,22.860001,23.080000,11.941053,18139100
2021-04-30,22.889999,23.410000,22.780001,23.100000,11.951402,27333100
2021-05-03,23.170000,23.260000,22.770000,23.010000,11.904838,15331500
2021-05-04,23.059999,23.260000,22.480000,22.480000,11.630629,15023900
2021-05-05,22.760000,23.570000,22.680000,23.400000,12.106614,21290700
2021-05-06,23.250000,23.440001,23.000000,23.070000,11.935880,12919700
2021-05-07,23.219999,23.930000,23.040001,23.930000,12.380824,21358800
2021-05-10,24.209999,24.459999,24.030001,24.230000,12.536036,21003500
2021-05-11,23.910000,24.600000,23.840000,24.549999,12.701596,18213400
2021-05-12,24.360001,24.870001,24.230000,24.240000,12.541209,18141800
2021-05-13,24.340000,24.580000,23.950001,24.500000,12.675729,15503000
2021-05-14,25.200001,25.730000,25.030001,25.639999,13.265537,21194500
2021-05-17,25.620001,25.940001,25.549999,25.940001,13.420750,11417200
2021-05-18,25.950001,26.049999,25.490000,25.600000,13.244843,14226100
2021-05-19,25.190001,25.590000,25.080000,25.520000,13.203453,13930700
2021-05-20,25.490000,25.580000,25.010000,25.170000,13.022370,12138100
2021-05-21,25.280001,25.530001,25.240000,25.420000,13.151715,17829100
2021-05-24,25.680000,25.750000,25.290001,25.680000,13.286235,14621400
2021-05-25,25.700001,25.820000,25.129999,25.219999,13.048239,19370700
2021-05-26,25.280001,25.469999,25.020000,25.450001,13.167236,10711300
2021-05-27,25.370001,25.600000,25.059999,25.250000,13.063761,20444900
2021-05-28,25.500000,26.760000,25.500000,26.709999,13.819131,47632100
2021-05-31,26.709999,26.860001,26.420000,26.650000,13.788087,20413800
2021-06-01,27.200001,27.480000,26.770000,27.230000,14.088165,29437700
2021-06-02,27.290001,28.590000,27.250000,28.580000,14.786623,44727900
2021-06-04,28.590000,29.290001,28.350000,28.930000,14.967706,42167500
2021-06-07,28.959999,29.129999,28.480000,28.719999,14.859056,39270400
2021-06-08,28.490000,29.559999,28.440001,29.410000,15.216047,51187500
2021-06-09,29.440001,29.940001,29.299999,29.510000,15.267785,26326900
2021-06-10,29.610001,29.879999,29.389999,29.570000,15.298827,18571600
2021-06-11,29.580000,29.700001,29.070000,29.299999,15.159136,15355500
2021-06-14,29.610001,29.990000,29.120001,29.260000,15.138442,17589000
2021-06-15,29.440001,29.580000,29.080000,29.469999,15.247091,11804900
2021-06-16,29.590000,29.790001,29.120001,29.570000,15.298827,27586600
2021-06-17,29.490000,29.650000,28.370001,28.660000,14.828014,17692600
2021-06-18,28.469999,28.760000,28.110001,28.740000,14.869407,20238900
2021-06-21,28.830000,29.450001,28.790001,29.340000,15.179832,9180700
2021-06-22,29.320000,29.580000,28.900000,29.370001,15.195354,14020000
2021-06-23,29.480000,29.879999,29.190001,29.440001,15.231569,11843000
2021-06-24,29.790001,30.010000,29.430000,29.889999,15.464390,13328500
2021-06-25,29.920000,30.160000,29.299999,29.410000,15.216047,18279900
2021-06-28,29.490000,29.559999,29.020000,29.280001,15.148788,11154700
2021-06-29,29.320000,29.760000,29.000000,29.680000,15.355741,18376200
2021-06-30,29.600000,30.490000,29.469999,30.290001,15.671340,38599800
2021-07-01,30.540001,30.840000,29.570000,29.760000,15.397130,14822500
2021-07-02,30.110001,30.110001,29.410000,30.030001,15.536821,10708800
2021-07-05,29.709999,29.980000,29.219999,29.690001,15.360912,9676800
2021-07-06,29.410000,29.650000,28.580000,28.580000,14.786623,26086000
2021-07-07,28.990000,28.990000,28.280001,28.730000,14.864232,15385400
2021-07-08,28.100000,28.549999,28.000000,28.160000,14.569326,13636300
2021-07-12,28.400000,28.600000,28.000000,28.450001,14.719367,12806700
2021-07-13,28.330000,28.680000,28.040001,28.559999,14.776278,8356500
2021-07-14,28.860001,28.990000,28.190001,28.370001,14.677976,15431200
2021-07-15,28.280001,28.389999,27.590000,27.700001,14.331334,14057500
2021-07-16,27.900000,27.959999,26.990000,27.170000,14.057124,13025200
2021-07-19,26.440001,26.930000,26.330000,26.850000,13.891563,15763200
